cores,pct,accuracy,runtime,runtime_no_overhead
1,100,0.9987,430.486,0.144
2,100,0.9987,377.205,0.092
4,100,0.9987,362.004,0.174
8,100,0.9987,357.32,0.091
12,100,0.9987,366.963,0.419
